10@W Coin (C)@200@201@10@1@1
11@W Coin Shop@200@201@11@2@1
12@W Coin Shop@200@201@12@3@1
31@Hachas F.O@200@201@10@3@0
32@Mazos F.O@200@201@10@4@0
33@Lanzas F.O@200@201@10@5@0
34@Arcos F.O@200@201@10@6@0
35@Espadas F.O@200@201@10@2@0
36@Staff F.O@200@201@10@7@0
37@Escudos F.O@200@201@10@8@0
38@Alas F.O@200@201@10@9@0
39@Joyerias F.O@200@201@10@10@0
41@Armas Acc@200@201@11@7@0
42@Cascos Acc@200@201@11@8@0
43@Cascos Full@200@201@11@1@0
44@Pecho Full@200@201@11@3@0
45@Pants Full@200@201@11@4@0
46@Guantes Full@200@201@11@5@0
47@Botas Full@200@201@11@6@0
48@Pechos Acc@200@201@11@9@0
49@Pants Acc@200@201@11@10@0
51@Guantes Acc@200@201@12@1@0
52@Botas Acc@200@201@12@2@0
53@Joyeria Acc@200@201@12@4@0
