01:38:28 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
01:39:43 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
01:39:57 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
01:54:55 [AccountInfo] Account connected (Account: vlxx3, IpAddress: 192.168.1.135, GameServerCode: 20)
02:01:48 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
02:02:16 [AccountInfo] Account disconnected (Account: vlxx3, IpAddress: 192.168.1.135, GameServerCode: 20)
02:05:28 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
02:13:17 [AccountInfo] Account disconnected by clear (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
02:14:58 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
02:15:17 [AccountInfo] Account connected (Account: vlxx3, IpAddress: 192.168.1.135, GameServerCode: 20)
02:20:34 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
02:20:34 [AccountInfo] Account disconnected (Account: vlxx3, IpAddress: 192.168.1.135, GameServerCode: 20)
02:22:35 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
02:34:49 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:22:52 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:34:43 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:35:23 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:36:13 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:37:51 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:37:55 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:38:35 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:38:36 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:41:02 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:41:05 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:41:45 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:44:00 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
11:50:47 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
12:00:01 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
12:03:45 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
12:07:00 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:27:00 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:29:40 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:29:55 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:33:56 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:38:12 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:39:37 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:41:41 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:48:17 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:53:41 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:56:52 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:57:15 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:58:17 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:58:35 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:59:16 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
14:59:32 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
15:00:37 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
15:00:57 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
15:02:49 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
15:03:00 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
