18:59:07 [CommandMake][louismk][LuisADM] - (Section: 12, Type: 201, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:17:23 [CommandMake][louismk][KmmR] - (Section: 12, Type: 442, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:17:31 [CommandMake][louismk][KmmR] - (Section: 12, Type: 442, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:17:37 [CommandMake][louismk][KmmR] - (Section: 12, Type: 442, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:17:43 [CommandMake][louismk][KmmR] - (Section: 12, Type: 442, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:17:53 [CommandMake][louismk][KmmR] - (Section: 12, Type: 426, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:18:07 [CommandMake][louismk][KmmR] - (Section: 12, Type: 434, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:18:17 [CommandMake][louismk][KmmR] - (Section: 12, Type: 437, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:18:42 [CommandMake][louismk][KmmR] - (Section: 12, Type: 449, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:18:52 [CommandMake][louismk][KmmR] - (Section: 12, Type: 450, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:20:17 [CommandMake][louismk][KmmR] - (Section: 12, Type: 161, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:20:52 [CommandMake][louismk][KmmR] - (Section: 13, Type: 218, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:22:38 [CommandMake][louismk][KmmR] - (Section: 12, Type: 200, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
19:24:20 [CommandMake][louismk][KmmR] - (Section: 12, Type: 457, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0, Sockets: 0, [Amount: 1])
