//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	128	128	1	508	25		0	1280	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	// Small Axe
31	129	129	1	508	25		0	1290	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	// Hand Axe
31	131	131	1	508	25		0	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// Double Axe
31	132	132	1	508	25		0	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// Tomahawk
31	133	133	1	508	50		0	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// Elven Axe
31	134	134	1	508	50		0	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// Battle Axe
31	135	135	1	508	50		0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Nikea Axe
31	136	136	1	508	50		0	1360	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	// Larkan Axe
31	137	137	1	508	50		0	1370	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	// Crescent Axe
32	138	138	1	508	1000	0	1380	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	// Mace
32	139	139	1	508	1000	0	1390	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	// Morning Star
32	140	140	1	508	1000	0	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Flail
32	141	141	1	508	1000	0	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Great Hammer
32	142	142	1	508	1000	0	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Crystal Morning Star
32	143	143	1	508	1000	0	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Crystal Sword
32	144	144	1	508	1000	0	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Chaos Dragon Axe
32	145	145	1	508	1000	0	1450	0	0	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	// Elemental Mace
32	146	146	1	508	1000	0	1460	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	// Battle Scepter
32	147	147	1	508	1200	0	1470	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	// Master Scepter
32	148	148	1	508	1200	0	1480	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	// Great Scepter
32	149	149	1	508	1200	0	1490	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	// Lord Scepter
32	150	150	1	508	1200	0	1500	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	// Great Lord Scepter
32	151	151	1	508	1800	0	1510	0	0	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	// Divine Scepter of Archangel
32	152	152	1	508	1800	0	1520	0	0	0	0	0	0	0	0	0	1520	0	0	0	0	0	0	0	0	0	// Soleil Sceptor
32	153	153	1	508	1800	0	1530	0	0	0	0	0	0	0	0	0	1530	0	0	0	0	0	0	0	0	0	// Shining Scepter
33	154	154	1	508	1000	0	1540	0	0	0	0	0	0	0	0	0	1540	0	0	0	0	0	0	0	0	0	// Light Spear
33	155	155	1	508	1000	0	1550	0	0	0	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	// Spear
