//Index   Message
0         "Blood Castle sẽ đóng trong %d phút nữa"
1         "Blood Castle đã đóng"
2         "Blood Castle %d sẽ bắt đầu trong %d phút nữa"
3         "Blood Castle đã bắt đầu"
4         "Tất cả quái vật đã bị tiêu diệt"
5         "Tất cả quái vật trùm đã bị tiêu diệt"
6         "Blood Castle đã kết thúc"
7         "Bạn chưa đủ mạnh để vào Blood Castle"
8         "Người chơi %s đã đánh rơi Vũ Khí Thiên Thần"
9         "Người chơi %s đã nhặt được Vũ Khí Thiên Thần"
10        "Người chơi %s đã phá hủy Cổng Lâu Đài"
11        "Người chơi %s đã phá hủy Bức Tượng"
16        "Chaos Castle sẽ đóng trong %d phút nữa"
17        "Chaos Castle đã đóng"
18        "Chaos Castle %d sẽ bắt đầu trong %d phút nữa"
19        "Chaos Castle đã bắt đầu"
20        "Chaos Castle đã kết thúc"
32        "Tài khoản Free"
33        "Tài khoản Bronze"
34        "Tài khoản Prata"
35        "Tài khoản Ouro"
36        "Bạn không thể dùng lệnh này ở bản đồ này!"
37        " "
38        " "
39        " "
40        " "
41        " "
42        " "
43        " "
44        " "
45        " "
46        " "
47        " "
48        " "
49        " "
50        " "
51        " "
52        " "
53        " "
54        " "
55        " "
56        " "
57        " "
58        "thời gian phạt còn lại là"
64        "Bạn không có quyền sử dụng"
65        "Bạn phải đạt ít nhất cấp độ %d mới dùng được"
66        "Bạn cần có ít nhất %d lần reset mới được dùng"
67        "Bạn cần có ít nhất %d zen để sử dụng"
68        "Bạn phải đợi %d giây nữa để sử dụng"
69        "%s"
70        "Bạn không được phép dùng /add"
71        "Lệnh này chỉ dành cho Dark Lord"
72        "Bạn không đủ điểm để cộng"
73        "Bạn cần ít nhất %d zen để dùng /add"
74        "Bạn đã cộng %d điểm, còn %d điểm chưa dùng"
75        "Bạn không được phép dùng /pkclear"
76        "Bạn không mang trạng thái PK"
77        "Bạn cần ít nhất %d zen để dùng /pkclear"
78        "Bạn đã xóa PK thành công"
79        "Bạn không được phép dùng /money"
80        "Bạn nhập số tiền không hợp lệ"
81        "Bạn không được phép dùng /change"
82        "Bạn cần ít nhất %d zen để dùng /change"
83        "Bạn không thể tiến hóa thêm được nữa"
84        "Bạn đã tiến hóa thành công"
85        "Bạn không được phép dùng /ware"
86        "Bạn không thể dùng /ware lúc này"
87        "Bạn nhập sai số rương để chuyển"
88        "Bạn chuyển sang rương số %d thành công"
89        "Bạn không được phép dùng /reset"
90        "Hiện không thể /reset"
91        "Bạn phải đạt ít nhất cấp độ %d mới được dùng /reset"
92        "Bạn phải có ít nhất %d zen để dùng /reset"
93        "Bạn không thể có quá %d lần reset"
94        "Bạn không thể reset khi đang trang bị đồ"
95        "Bạn đã reset thành công, bây giờ bạn có %d lần reset"
96        "Bạn không được phép dùng /gmmove"
97        "Bạn nhập sai tên mục tiêu cho /gmmove"
98        "Bạn không được phép dùng /gmpost"
99        "Bạn không được phép dùng /track"
100       "Bạn nhập sai tên mục tiêu cho /track"
101       "Bạn không được phép dùng /trace"
102       "Bạn nhập sai tên mục tiêu cho /trace"
103       "Bạn không được phép dùng /disconnect"
104       "Bạn nhập sai tên mục tiêu cho /disconnect"
105       "Bạn không được phép dùng /fireworks"
106       "Bạn không được phép dùng /make"
107       "Bạn đã tạo item thành công"
108       "Bạn không được phép dùng /skin"
109       "Bạn nhập sai tên mục tiêu cho /skin"
110       "Bạn không được phép dùng /setmoney"
111       "Bạn nhập sai tên mục tiêu cho /setmoney"
112       "Bạn nhập giá trị không hợp lệ cho /setmoney"
113       "Bạn không được phép dùng /notice"
114       "Tự động cộng điểm: Đã bật (%d)"
115       "Tự động cộng điểm: Đã tắt"
116       "Reset tự động: Đã bật"
117       "Reset tự động: Đã tắt"
118       "Bạn không được phép dùng /mreset"
119       "Bạn không thể /mreset lúc này"
120       "Bạn phải đạt ít nhất %d cấp độ để dùng /mreset"
121       "Bạn cần ít nhất %d lần reset để dùng /mreset"
122       "Bạn cần ít nhất %d zen để dùng /mreset"
123       "Bạn không thể có quá %d lần master reset"
124       "Bạn không thể master reset khi đang trang bị đồ"
125       "Bạn đã master reset thành công, hiện có %d lần master reset"
126       "Cho phép nhận yêu cầu: Bật"
127       "Cho phép nhận yêu cầu: Tắt"
128       "Cho phép nhận yêu cầu: Tự động"
129       "Mỗi ngày bạn chỉ được reset %d lần"
130       "Mỗi tuần bạn chỉ được reset %d lần"
131       "Mỗi tháng bạn chỉ được reset %d lần"
132       "Mỗi ngày bạn chỉ được master reset %d lần"
133       "Mỗi tuần bạn chỉ được master reset %d lần"
134       "Mỗi tháng bạn chỉ được master reset %d lần"
135       "Bạn không được phép dùng /hide"
144       "Devil Square sẽ đóng trong %d phút nữa"
145       "Devil Square đã đóng"
146       "Devil Square %d sẽ bắt đầu trong %d phút nữa"
147       "Devil Square đã bắt đầu"
