//Index   Message
0       "血色城堡离进场结束还剩下 %d 分钟"
1       "血色城堡进入结束,勇士下次请提前准备"
2       "血色城堡第 %d 层,活动将在 %d 分钟后开启"
3       "血色城堡任务已经开始"
4       "血色城堡清除怪物成功,请攻破血色城门"
5       "血色城堡清除怪物成功,请打开水晶灵柩"
6       "血色城堡任务顺利完成"
7       "血色城堡你没有强大到足以进入血色城堡"
8       "血色城堡%s：勇士掉落了大天使武"
9       "血色城堡%s：勇士获得大天使武器"
10      "血色城堡%s：勇士攻破了血色城门"
11      "血色城堡%s：勇士打开了水晶灵柩"
16      "赤色要塞离进场结束还剩下 %d 分钟"
17      "赤色要塞进入结束,勇士下次请提前准备"
18      "赤色要塞第 %d 层,将在 %d 分钟后开启"
19      "赤色要塞任务已经开始"
20      "赤色要塞灵魂已受净化,任务成功"
32        "免费账号"
33        "青铜账号"
34        "黄金账号"
35        "白金账号"
36        "你可以在地图上使用它！"
37        " "
38        " "
39        " "
40        " "
41        " "
42        " "
43        " "
44        " "
45        " "
46        " "
47        " "
48        " "
49        " "
50        " "
51        " "
52        " "
53        " "
54        " "
55        " "
56        " "
57        " "
58		"惩罚时间是"
64      "你没有权限使用"
65      "你的等级必须达到 %d 级才可使用该命令"
66      "你至少需要 %d 转才可使用该命令"
67      "你至少需要 %d 金才可使用该命令"
68      "请稍等 %d 秒钟后再使用该命令"
69      "[广告]%s"     
70      "你没有权限使用命令"
71      "仅限圣导师才可使用"
72      "你没有足够的点数"
73      "若要执行命令,至少需要%d 金 "
74      "成功加了 %d 点,剩余 %d 点"
75      "你无法洗红,请稍后再试 /洗红"
76      "你不是红名"
77      "洗红需要 %d 金"
78      "洗红成功"
79      "你没有权限使用这个命令"
80      "错误的输入"
81      "你无法使用变更命令"
82      "你至少需要 %d 金才可使用变身命令"
83      "你无法使用此命令"
84      "使用命令成功"
85      "你无法使用仓库命令"
86      "你目前无法使用此命令"
87      "命令无效,请重试"
88      "您已切换到 %d 号仓库"
89      "你无法使用在线转生命令"
90      "在当前时间内无法使用转生命令"
91      "你的等级必须达到 %d 级才可使用转生命令"
92      "你至少要有 %d 金币才能使用转生"
93      "你的转生次数已达到 %d 转,不能再多了"
94      "你不能带着装备物品转生"
95      "恭喜你成功转生,现在是第 %d 次转生"
96      "你没有权限使用命令"
97      "你输入了一个无效的指令"
98      "你没有权限使用命令"
99      "你没有权限使用命令"
100     "你输入了一个无效的指令"   
101     "你没有权限使用命令"
102     "你输入了一个无效的指令"
103     "你没有权限使用命令"
104     "你输入了一个无效的指令"
105     "你没有权限使用命令"
106     "你没有权限使用命令"
107     "你已经成功制造物品"
108     "你没有权限使用命令"
109     "你输入了一个无效的指令"
110     "你没有权限使用命令"
111     "你输入了一个无效的指令"
112     "你输入了一个无效的指令"
113     "你没有权限使用命令"
114     "自动加点: 开启 (%d)"
115     "自动加点: 关闭"
116     "自动转生: 开启"
117     "自动转生: 关闭"
118     "你没有权限使用命"
119     "大师转生时间没到,不能使用命令"
120     "你至少要有 %d 级才可以使用命令"
121     "你至少要有 %d 转生才可以使用命令"
122     "你至少要有 %d 金币才可以使用命令"
123     "你不能超过 %d 次转世"
124     "你不能带着装备物品去转世"
125     "转世成功,你以转世 %d 次"
126     "功能: 开启"
127     "功能: 关闭"
128     "功能: 自动"
129     "你每天最多转生 %d 次"
130     "每星期最多转生 %d 次"
131     "每月最多转生 %d 次"
132     "你每天最多转世 %d 次"
133     "你每星期最多转世 %d 次"
134     "你每月最多转世 %d 次"
135     "你没有权限使用命令"
144     "恶魔广场离进场结束还剩下 %d 分钟"
145     "恶魔广场进入结束,勇士下次请提前准备"
146     "恶魔广场第 %d 层,将在 %d 分钟后启动"
147     "恶魔广场任务已经开始"
148     "恶魔广场任务顺利完成"
149     "恶魔广场你没有强大到足以进入恶魔广场"
160     "目标玩家不在线"
161     "你不能决斗"
162     "目标玩家自动拒绝他的决斗申请"
163     "你曾经被请求决斗"
164     "目标玩家被请求决斗"
165     "处于战盟战斗中,你不能决斗"
166     "目标玩家处于盟战斗中,不能决斗"
167     "不是决斗地图"
168     "攻城线不能决斗"
169     "目标玩家名字无效"
170     "你不能与正当防卫中玩家决斗"
171     "玩家正当防卫中不能决斗"
172     "目标玩家拒绝决斗申请"
173     "所有竞技场已满员"       
174     "玩家 %s 和 %s 的决斗开始了!" 
175     "玩家 %s 赢得了和 %s 的决斗!"      
176     "幻影圣院在%d分钟内关闭"
177     "幻影寺院关闭"
178     "幻觉圣院在%d分钟内开始"
179     "幻影寺院开始"
180     "幻影寺院结束"
181     "你不够强壮，不能进入幻觉寺"
182     "你没有进入幻影寺院所需的物品"
183     "玩家%s钥匙神器"
184     "玩家%s有神器"
191     "巴洛克来袭，出没于失落之塔！"
192     "骷髅王来袭,勇士们请前往消灭它!"
193     "火龙王来袭,勇士们请前往消灭它!"
194     "黄金火龙王、黄金巨龙来袭，勇士们请前往消灭它们！"
195     "白色魔法师来袭,勇士们请前往消灭它们!"
196     "新年福袋袭击开始 入侵持续30分钟"
197     "月兔来袭袭击开始 入侵持续30分钟"
198     "火花精灵袭击开始 入侵持续30分钟"
199     "圣诞老人来袭,勇士们请前往消灭它们!"
200     "昆顿魔王袭击开始 入侵持续3个小时" 
201     "恭喜：勇士 %s 杀死了一只月兔"
202     "恭喜：勇士 %s 杀死了骷髅王"
203     "恭喜：勇士 %s 杀死了火龙王"
204     "恭喜：勇士 %s 杀死了黄金巨王"
205     "恭喜：勇士 %s 杀死了白色魔法师"
206     "恭喜：勇士 %s 杀死了诅咒圣诞老人"
207     "恭喜：勇士 %s 杀死了昆顿魔王"
208     "随机商店莫斯NPC已经出现"
209     "随机商店莫斯NPC已经离开"
210     "哥布林入侵袭击开始"
211     "宠物蛋怪物活动开始"         
224     "您的等级到 %d 级才能移动到该地图"
225     "你的MU币要 %d 才能移动到该地图"
226     "开启个人商店时不可移动"
227     "红名不能移动"
228     "您没有正确的装备移动"
229     "未加入家族而无法进入纷争区域"
230     "您的等级到最高级别 %d 级才能移动到该地图"
231     "你至少要 %d 次转生才能移动"
232     "你至少要 %d 次大师转生才能移动"
240     "当前合成未激活"
241     "合成在城堡攻城期间不工作"
242     "你必须攻下城堡才能使用合成"
243     "你必须是城主才能使用合成"
244     "城堡攻城期间卫兵不工作"
245     "你已经有战盟了"
246     "你的等级太低,无法创建一个战盟"
247     "商店的货都卖光了"        
248		"帐户级别：免费"
249		"帐户级别：青铜（%s）"
250		"账户级别：白银（%s）"
251		"帐户级别：黄金（%s）"
256     "欢迎 %s 来到神武奇迹"  
257     "您的等级 40 级以上才能扔出勇士指环"
258     "您的等级 80 级以上才能扔出战士指环"
259     "攻城线未开放,不能移动到此地图"
260     "这个物品不属于你"
261     "请先关闭交易窗口,再结束游戏"
262     "仓库打开中,你不能离开游戏"
263     "你不能开着合成离开游戏"
264     "你不能开着宠物合成离开游戏"
265     "已经转为正当防卫状态,不能离开游戏"
266     "勇士,你的等级已达到上限"
267     "勇士,你的大师等级已达到上限,"
268     "您只能加 %d 点"
269     "禁言中, %d 分钟之内无法聊天"
270     "您不能发送邮件给自己"
271     "您好,我是快乐守卫"
272     "红名或走动时无法被传送"
273     "你将在 %d 秒后被传送"
274     "乘着坐骑不能移动到该地区"
275     "您目前不能移动到该地图,因为你没有翅膀"
276     "商城礼包"     
304     "生魂战场Boss出现"
305     "你的等级太低,无法进入生魂广场"
306     "生魂广场BOSS被击败了"
320     "冰霜蜘蛛冰霜巨蛛已经登场了.%d 分钟后孵化魔地入口将被关闭"
321     "冰霜蜘蛛孵化魔地入口已经关闭"
322     "冰霜蜘蛛勇士 %s 击败冰霜蜘蛛"
323     "冰霜蜘蛛孵化魔地的大门将在 %d 分钟再次打开"
324     "冰霜蜘蛛孵化魔地的入口已打开"
325     "冰霜蜘蛛孵化魔地的门是关闭的"
336     "通往提炼之塔的路将在1小时之后重新封印"
337     "因不祥的力量传达到提炼之塔,20分钟后将强制退回坎特鲁安全地区"    
338     "坎特鲁战役1分钟后可以挑战BOSS巨大的力量"
339     "坎特鲁战役BOSS即将出现"
340     "坎特鲁战役1分钟后将重新开始战斗"
341     "坎特鲁战役与咒怨魔王的战斗即将开始"
342     "坎特鲁战役你已经完成了事件,继续前进,找到艾尔菲丝"
343     "坎特鲁战役因限制的时间已过,将强制退回坎特鲁安全地区"
352     "罗兰峡谷怪物入侵将在5分钟内开始"
353     "罗兰峡谷怪物入侵任务已经开始"
354     "罗兰峡谷怪物入侵任务顺利完成"   
355     "炼狱魔王被 %s 击杀了"  
356     "%s 被玩家 %s 击败"     
368     "[狼魂战役]巴卡斯军团进行攻击,狼魂要塞进入准备状态"
369     "[狼魂战役]巴卡斯军团,现在准备攻击狼魂要塞了勇士们做好准备"
370     "[狼魂战役]巴卡斯军团正为攻占狼魂要塞而做准备"       
371     "[狼魂战役]巴卡斯军团向狼魂要塞的袭击开始了"       
372     "[狼魂战役]由于没有祭司守护,战狼神座最终被巴卡斯军团占领了"   
373     "[狼魂战役]没有在战役中消灭巴卡斯"
374     "[狼魂战役]狼魂要塞战役失败,战狼神座被巴卡斯夺走了"     
375     "[狼魂战役]狼魂要塞战役胜利,守住了战狼神座"    
376     "[狼魂战役] %d 秒后可以绑定神狼护台"     
377     "[狼魂战役] %d 分后可以绑定神狼护台"    
378     "[狼魂战役] %d 秒后巴卡斯军团开始进攻" 
379     "[狼魂战役] %d 分钟后巴卡斯军团开始进攻" 
