0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
101            01             00         049            193            01             //Iron Stick
101            01             00         010            026            01             //Iron Stick
101            01             00         011            026            01             //Iron Stick
101            01             00         027            012            01             //Iron Stick
101            01             00         024            005            01             //Iron Stick
101            01             00         024            004            01             //Iron Stick
101            01             00         027            011            01             //Iron Stick
101            01             00         023            024            01             //Iron Stick
101            01             00         027            021            01             //Iron Stick
101            01             00         019            019            01             //Iron Stick
101            01             00         022            024            01             //Iron Stick
101            01             00         023            029            01             //Iron Stick
101            01             00         023            028            01             //Iron Stick
101            01             00         033            009            01             //Iron Stick
101            01             00         035            009            01             //Iron Stick
101            01             00         039            018            01             //Iron Stick
101            01             00         039            017            01             //Iron Stick
101            01             00         039            016            01             //Iron Stick
102            01             00         045            224            03             //Fire
101            01             00         048            193            01             //Iron Stick
102            01             00         066            071            03             //Fire
102            01             00         080            061            01             //Fire
101            01             00         090            164            01             //Iron Stick
101            01             00         092            164            01             //Iron Stick
101            01             00         091            164            01             //Iron Stick
100            01             00         126            099            01             //Lance
100            01             00         123            099            01             //Lance
100            01             00         120            099            01             //Lance
100            01             00         117            099            01             //Lance
100            01             00         136            095            01             //Lance
100            01             00         139            095            01             //Lance
101            01             00         128            212            01             //Iron Stick
101            01             00         130            213            01             //Iron Stick
101            01             00         143            214            01             //Iron Stick
101            01             00         155            230            05             //Iron Stick
100            01             00         172            012            01             //Lance
100            01             00         166            012            01             //Lance
102            01             00         169            012            01             //Fire
102            01             00         175            012            01             //Fire
100            01             00         178            012            01             //Lance
100            01             00         177            103            01             //Lance
100            01             00         180            103            01             //Lance
100            01             00         183            103            01             //Lance
100            01             00         186            103            01             //Lance
100            01             00         189            103            01             //Lance
100            01             00         186            151            03             //Lance
100            01             00         196            033            01             //Lance
100            01             00         193            033            01             //Lance
100            01             00         202            093            01             //Lance
100            01             00         205            093            01             //Lance
100            01             00         198            130            01             //Lance
100            01             00         202            150            01             //Lance
100            01             00         232            046            03             //Lance
100            01             00         232            040            03             //Lance
100            01             00         232            037            03             //Lance
100            01             00         227            061            01             //Lance
100            01             00         229            093            01             //Lance
100            01             00         232            093            01             //Lance
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
011            01             30         199            116            4             //Ghost
005            01             30         170            126            3             //Hell Hound
014            01             30         120            243            6             //Skeleton
011            01             30         240            247            2             //Ghost
011            01             30         242            247            2             //Ghost
011            01             30         241            226            1             //Ghost
011            01             30         246            220            5             //Ghost
011            01             30         243            201            5             //Ghost
005            01             30         163            114            7             //Hell Hound
011            01             30         244            192            0             //Ghost
011            01             30         213            248            4             //Ghost
017            01             30         173            200            5             //Cyclops
011            01             30         148            149            6             //Ghost
005            01             30         163            125            2             //Hell Hound
015            01             30         141            110            4             //Skeleton Archer
005            01             30         145            118            4             //Hell Hound
013            01             30         112            093            7             //Hell Spider
015            01             30         098            054            7             //Skeleton Archer
014            01             30         099            049            4             //Skeleton
013            01             30         104            065            5             //Hell Spider
013            01             30         183            027            2             //Hell Spider
008            01             30         187            015            7             //Poison Bull Fighter
008            01             30         158            017            1             //Poison Bull Fighter
016            01             30         159            041            1             //Chief Skeleton Warrior
016            01             30         115            008            6             //Chief Skeleton Warrior
005            01             30         123            120            2             //Hell Hound
015            01             30         114            110            4             //Skeleton Archer
015            01             30         068            110            0             //Skeleton Archer
015            01             30         076            111            7             //Skeleton Archer
016            01             30         124            020            0             //Chief Skeleton Warrior
016            01             30         090            006            3             //Chief Skeleton Warrior
013            01             30         114            020            2             //Hell Spider
005            01             30         138            086            5             //Hell Hound
016            01             30         212            083            5             //Chief Skeleton Warrior
016            01             30         211            090            2             //Chief Skeleton Warrior
016            01             30         226            058            1             //Chief Skeleton Warrior
016            01             30         239            056            3             //Chief Skeleton Warrior
016            01             30         235            023            3             //Chief Skeleton Warrior
013            01             30         247            087            6             //Hell Spider
011            01             30         247            007            5             //Ghost
011            01             30         240            007            5             //Ghost
011            01             30         241            009            1             //Ghost
009            01             30         028            018            0             //Thunder Lich
009            01             30         022            004            2             //Thunder Lich
009            01             30         018            029            6             //Thunder Lich
009            01             30         018            023            2             //Thunder Lich
009            01             30         034            004            7             //Thunder Lich
008            01             30         119            047            4             //Poison Bull Fighter
009            01             30         022            090            2             //Thunder Lich
009            01             30         033            078            0             //Thunder Lich
008            01             30         025            100            4             //Poison Bull Fighter
016            01             30         029            080            4             //Chief Skeleton Warrior
009            01             30         042            117            5             //Thunder Lich
010            01             30         014            107            2             //Dark Knight
008            01             30         021            082            5             //Poison Bull Fighter
010            01             30         022            065            0             //Dark Knight
010            01             30         039            077            2             //Dark Knight
010            01             30         029            066            7             //Dark Knight
008            01             30         016            055            2             //Poison Bull Fighter
008            01             30         035            055            4             //Poison Bull Fighter
