0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
605            04             03         202            075            05             //Mining Area (Small)
605            04             03         206            080            05             //Mining Area (Small)
605            04             03         211            080            00             //Mining Area (Small)
606            04             03         212            076            01             //Mining Area (Medium)
606            04             03         208            072            01             //Mining Area (Medium)
607            04             03         207            076            07             //Mining Area (Large)
103            04             00         082            175            03             //Meteorite
103            04             00         005            175            03             //Meteorite
103            04             00         006            175            03             //Meteorite
103            04             00         004            175            03             //Meteorite
103            04             00         015            172            03             //Meteorite
103            04             00         015            173            03             //Meteorite
103            04             00         015            174            03             //Meteorite
103            04             00         014            207            03             //Meteorite
103            04             00         004            194            03             //Meteorite
103            04             00         005            194            03             //Meteorite
103            04             00         006            194            03             //Meteorite
103            04             00         014            208            03             //Meteorite
103            04             00         005            237            03             //Meteorite
103            04             00         006            237            03             //Meteorite
103            04             00         007            237            03             //Meteorite
103            04             00         026            104            03             //Meteorite
103            04             00         026            103            03             //Meteorite
103            04             00         026            102            03             //Meteorite
103            04             00         026            101            03             //Meteorite
103            04             00         030            101            03             //Meteorite
103            04             00         030            100            03             //Meteorite
103            04             00         030            099            03             //Meteorite
103            04             00         029            125            01             //Meteorite
103            04             00         028            125            01             //Meteorite
103            04             00         027            125            01             //Meteorite
103            04             00         026            125            01             //Meteorite
103            04             00         027            128            01             //Meteorite
103            04             00         027            129            01             //Meteorite
103            04             00         027            130            01             //Meteorite
103            04             00         021            243            03             //Meteorite
103            04             00         022            243            03             //Meteorite
103            04             00         023            243            03             //Meteorite
103            04             00         045            110            01             //Meteorite
103            04             00         045            110            01             //Meteorite
103            04             00         045            110            05             //Meteorite
103            04             00         045            109            05             //Meteorite
103            04             00         045            108            05             //Meteorite
103            04             00         038            110            05             //Meteorite
103            04             00         038            109            05             //Meteorite
103            04             00         038            108            05             //Meteorite
103            04             00         035            125            01             //Meteorite
103            04             00         034            125            01             //Meteorite
103            04             00         033            125            01             //Meteorite
103            04             00         036            125            01             //Meteorite
103            04             00         037            119            03             //Meteorite
103            04             00         037            120            03             //Meteorite
103            04             00         034            128            01             //Meteorite
103            04             00         034            129            01             //Meteorite
103            04             00         034            130            01             //Meteorite
103            04             00         047            131            01             //Meteorite
103            04             00         047            132            01             //Meteorite
103            04             00         041            132            01             //Meteorite
103            04             00         041            133            01             //Meteorite
103            04             00         036            133            01             //Meteorite
103            04             00         036            134            01             //Meteorite
103            04             00         046            169            03             //Meteorite
103            04             00         046            170            03             //Meteorite
103            04             00         046            171            03             //Meteorite
103            04             00         046            172            03             //Meteorite
103            04             00         042            245            03             //Meteorite
103            04             00         042            246            03             //Meteorite
103            04             00         052            114            03             //Meteorite
103            04             00         053            114            03             //Meteorite
103            04             00         054            114            03             //Meteorite
103            04             00         053            178            03             //Meteorite
103            04             00         054            178            03             //Meteorite
103            04             00         052            178            03             //Meteorite
103            04             00         051            198            03             //Meteorite
103            04             00         051            199            03             //Meteorite
103            04             00         051            200            03             //Meteorite
103            04             00         051            201            03             //Meteorite
103            04             00         085            120            03             //Meteorite
103            04             00         086            120            03             //Meteorite
103            04             00         084            120            03             //Meteorite
103            04             00         093            131            03             //Meteorite
103            04             00         093            130            03             //Meteorite
103            04             00         093            132            03             //Meteorite
103            04             00         083            175            03             //Meteorite
103            04             00         084            175            03             //Meteorite
103            04             00         085            175            03             //Meteorite
103            04             00         082            184            03             //Meteorite
103            04             00         083            184            03             //Meteorite
103            04             00         084            184            03             //Meteorite
103            04             00         082            201            03             //Meteorite
103            04             00         083            201            03             //Meteorite
103            04             00         084            201            03             //Meteorite
103            04             00         093            243            03             //Meteorite
103            04             00         093            244            03             //Meteorite
103            04             00         093            245            03             //Meteorite
103            04             00         093            246            03             //Meteorite
103            04             00         100            185            03             //Meteorite
103            04             00         101            185            03             //Meteorite
103            04             00         102            185            03             //Meteorite
103            04             00         103            185            03             //Meteorite
103            04             00         098            225            03             //Meteorite
103            04             00         099            225            03             //Meteorite
103            04             00         100            225            03             //Meteorite
103            04             00         101            225            03             //Meteorite
103            04             00         111            227            03             //Meteorite
103            04             00         110            227            03             //Meteorite
103            04             00         107            242            03             //Meteorite
103            04             00         107            243            03             //Meteorite
103            04             00         107            244            03             //Meteorite
103            04             00         126            104            03             //Meteorite
103            04             00         126            105            03             //Meteorite
103            04             00         126            106            03             //Meteorite
103            04             00         126            107            03             //Meteorite
103            04             00         126            115            03             //Meteorite
103            04             00         127            115            03             //Meteorite
103            04             00         125            115            03             //Meteorite
103            04             00         123            135            03             //Meteorite
103            04             00         123            134            03             //Meteorite
103            04             00         123            133            03             //Meteorite
103            04             00         123            132            03             //Meteorite
103            04             00         121            208            03             //Meteorite
103            04             00         122            208            03             //Meteorite
103            04             00         120            208            03             //Meteorite
103            04             00         112            227            03             //Meteorite
103            04             00         113            227            03             //Meteorite
103            04             00         132            126            03             //Meteorite
103            04             00         133            126            03             //Meteorite
103            04             00         134            126            03             //Meteorite
103            04             00         132            178            03             //Meteorite
103            04             00         133            178            03             //Meteorite
103            04             00         128            221            03             //Meteorite
103            04             00         129            221            03             //Meteorite
