0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
048            07             30         236            177            6             //Lizard King
051            07             30         212            096            0             //Great Bahamut
045            07             30         021            041            3             //Bahamut
045            07             30         023            033            0             //Bahamut
045            07             30         031            031            4             //Bahamut
045            07             30         039            023            0             //Bahamut
045            07             30         041            011            2             //Bahamut
045            07             30         021            048            4             //Bahamut
045            07             30         047            041            3             //Bahamut
045            07             30         039            063            6             //Bahamut
045            07             30         072            042            0             //Bahamut
045            07             30         023            056            1             //Bahamut
045            07             30         023            064            5             //Bahamut
045            07             30         035            070            6             //Bahamut
045            07             30         029            075            5             //Bahamut
045            07             30         062            021            3             //Bahamut
045            07             30         078            019            0             //Bahamut
045            07             30         067            036            5             //Bahamut
045            07             30         024            086            1             //Bahamut
045            07             30         048            057            6             //Bahamut
045            07             30         045            070            1             //Bahamut
045            07             30         019            125            6             //Bahamut
045            07             30         049            008            3             //Bahamut
045            07             30         046            020            6             //Bahamut
045            07             30         039            035            1             //Bahamut
045            07             30         037            050            1             //Bahamut
045            07             30         020            075            1             //Bahamut
045            07             30         063            044            1             //Bahamut
045            07             30         068            052            7             //Bahamut
045            07             30         049            064            4             //Bahamut
045            07             30         029            052            6             //Bahamut
046            07             30         046            021            3             //Vepar
046            07             30         048            009            6             //Vepar
046            07             30         050            065            4             //Vepar
046            07             30         051            070            2             //Vepar
046            07             30         080            033            5             //Vepar
046            07             30         062            017            4             //Vepar
046            07             30         061            011            5             //Vepar
046            07             30         069            019            2             //Vepar
046            07             30         075            015            5             //Vepar
046            07             30         083            015            1             //Vepar
046            07             30         084            021            1             //Vepar
046            07             30         067            027            0             //Vepar
046            07             30         059            034            2             //Vepar
046            07             30         086            037            7             //Vepar
046            07             30         078            044            3             //Vepar
046            07             30         071            052            1             //Vepar
046            07             30         065            059            6             //Vepar
046            07             30         065            051            0             //Vepar
046            07             30         055            044            2             //Vepar
046            07             30         040            048            3             //Vepar
046            07             30         031            053            0             //Vepar
046            07             30         024            090            7             //Vepar
046            07             30         021            100            7             //Vepar
046            07             30         025            105            0             //Vepar
046            07             30         030            110            4             //Vepar
046            07             30         021            118            5             //Vepar
046            07             30         038            117            2             //Vepar
046            07             30         141            011            1             //Vepar
046            07             30         127            017            3             //Vepar
046            07             30         114            026            7             //Vepar
046            07             30         107            018            5             //Vepar
046            07             30         104            013            0             //Vepar
046            07             30         115            012            0             //Vepar
046            07             30         089            062            5             //Vepar
046            07             30         075            076            5             //Vepar
046            07             30         069            087            3             //Vepar
046            07             30         050            093            3             //Vepar
046            07             30         023            072            3             //Vepar
046            07             30         078            023            1             //Vepar
046            07             30         070            038            6             //Vepar
046            07             30         055            025            7             //Vepar
046            07             30         030            122            1             //Vepar
046            07             30         017            126            6             //Vepar
046            07             30         122            029            2             //Vepar
046            07             30         108            040            5             //Vepar
048            07             30         066            222            6             //Lizard King
048            07             30         063            218            3             //Lizard King
048            07             30         057            225            5             //Lizard King
048            07             30         171            162            2             //Lizard King
048            07             30         175            169            6             //Lizard King
048            07             30         178            174            7             //Lizard King
048            07             30         173            179            5             //Lizard King
048            07             30         171            187            1             //Lizard King
048            07             30         165            193            1             //Lizard King
048            07             30         159            198            7             //Lizard King
048            07             30         152            201            5             //Lizard King
048            07             30         144            201            5             //Lizard King
048            07             30         137            205            2             //Lizard King
048            07             30         124            206            5             //Lizard King
048            07             30         115            210            0             //Lizard King
048            07             30         104            211            3             //Lizard King
048            07             30         094            210            2             //Lizard King
048            07             30         087            214            3             //Lizard King
048            07             30         076            215            6             //Lizard King
048            07             30         047            224            1             //Lizard King
048            07             30         046            217            7             //Lizard King
048            07             30         029            226            1             //Lizard King
048            07             30         022            213            7             //Lizard King
048            07             30         024            204            6             //Lizard King
048            07             30         034            200            0             //Lizard King
048            07             30         035            209            0             //Lizard King
048            07             30         040            210            7             //Lizard King
048            07             30         045            205            2             //Lizard King
048            07             30         047            211            7             //Lizard King
048            07             30         037            232            5             //Lizard King
048            07             30         226            052            2             //Lizard King
048            07             30         022            230            3             //Lizard King
048            07             30         041            224            6             //Lizard King
048            07             30         082            215            3             //Lizard King
048            07             30         167            156            1             //Lizard King
048            07             30         177            146            0             //Lizard King
052            07             30         156            156            5             //Silver Valkyrie
052            07             30         162            149            4             //Silver Valkyrie
052            07             30         152            169            6             //Silver Valkyrie
052            07             30         072            128            7             //Silver Valkyrie
052            07             30         070            138            1             //Silver Valkyrie
052            07             30         061            147            6             //Silver Valkyrie
052            07             30         049            158            1             //Silver Valkyrie
052            07             30         033            169            6             //Silver Valkyrie
052            07             30         022            173            3             //Silver Valkyrie
