0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
605            08             05         188            054            06             //Mining Area (Small)
605            08             05         198            064            02             //Mining Area (Small)
605            08             05         206            072            04             //Mining Area (Small)
605            08             05         206            055            03             //Mining Area (Small)
605            08             05         186            060            04             //Mining Area (Small)
606            08             05         164            058            01             //Mining Area (Medium)
606            08             05         197            057            05             //Mining Area (Medium)
606            08             05         192            073            00             //Mining Area (Medium)
606            08             05         203            065            04             //Mining Area (Medium)
607            08             05         205            059            03             //Mining Area (Large)
607            08             05         201            070            05             //Mining Area (Large)
607            08             05         199            056            06             //Mining Area (Large)
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
061            08             30         007            205            3             //Beam Knight
061            08             30         005            214            1             //Beam Knight
058            08             30         008            219            1             //Tantalos
061            08             30         006            228            2             //Beam Knight
059            08             30         011            241            6             //Zaikan
058            08             30         018            238            6             //Tantalos
062            08             30         146            053            6             //Mutant
061            08             30         072            167            4             //Beam Knight
061            08             30         083            176            7             //Beam Knight
061            08             30         063            173            3             //Beam Knight
062            08             30         148            043            5             //Mutant
062            08             30         155            040            4             //Mutant
062            08             30         134            057            0             //Mutant
062            08             30         151            034            7             //Mutant
062            08             30         149            028            3             //Mutant
062            08             30         141            074            0             //Mutant
062            08             30         142            068            2             //Mutant
061            08             30         011            234            6             //Beam Knight
062            08             30         141            024            4             //Mutant
062            08             30         137            020            2             //Mutant
062            08             30         132            015            0             //Mutant
060            08             30         148            066            6             //Bloody wolf
062            08             30         134            082            5             //Mutant
062            08             30         135            089            0             //Mutant
062            08             30         136            096            7             //Mutant
062            08             30         148            091            7             //Mutant
062            08             30         157            089            7             //Mutant
062            08             30         158            080            1             //Mutant
062            08             30         154            073            7             //Mutant
062            08             30         162            101            5             //Mutant
062            08             30         161            110            2             //Mutant
062            08             30         171            116            4             //Mutant
062            08             30         180            112            5             //Mutant
062            08             30         190            112            2             //Mutant
062            08             30         197            108            2             //Mutant
062            08             30         205            105            6             //Mutant
062            08             30         186            120            4             //Mutant
060            08             30         181            123            2             //Bloody wolf
062            08             30         173            129            1             //Mutant
062            08             30         169            136            6             //Mutant
062            08             30         162            141            0             //Mutant
062            08             30         159            148            3             //Mutant
062            08             30         151            155            5             //Mutant
062            08             30         152            147            5             //Mutant
062            08             30         152            133            2             //Mutant
062            08             30         162            129            1             //Mutant
062            08             30         152            125            7             //Mutant
062            08             30         152            116            2             //Mutant
062            08             30         171            106            5             //Mutant
062            08             30         151            101            6             //Mutant
062            08             30         142            100            3             //Mutant
062            08             30         140            037            0             //Mutant
