0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
294            31             30         228            042            1             //Ax Warrior
294            31             30         182            031            2             //Ax Warrior
291            31             30         105            190            2             //Fire Golem
294            31             30         185            015            2             //Ax Warrior
294            31             30         193            012            2             //Ax Warrior
292            31             30         098            175            4             //Queen Bee
294            31             30         196            026            3             //Ax Warrior
294            31             30         202            012            0             //Ax Warrior
291            31             30         088            183            1             //Fire Golem
294            31             30         214            014            3             //Ax Warrior
294            31             30         202            020            3             //Ax Warrior
294            31             30         206            028            4             //Ax Warrior
290            31             30         212            022            4             //Lizard Warrior
294            31             30         221            017            1             //Ax Warrior
294            31             30         224            025            6             //Ax Warrior
294            31             30         228            031            4             //Ax Warrior
294            31             30         218            031            1             //Ax Warrior
294            31             30         211            039            0             //Ax Warrior
290            31             30         233            036            4             //Lizard Warrior
294            31             30         235            045            4             //Ax Warrior
292            31             30         224            147            6             //Queen Bee
291            31             30         225            141            3             //Fire Golem
293            31             30         225            132            0             //Poison Golem
293            31             30         224            124            7             //Poison Golem
293            31             30         218            110            3             //Poison Golem
293            31             30         219            119            5             //Poison Golem
293            31             30         227            116            4             //Poison Golem
290            31             30         228            109            1             //Lizard Warrior
293            31             30         230            102            6             //Poison Golem
293            31             30         222            098            0             //Poison Golem
294            31             30         223            054            6             //Ax Warrior
290            31             30         204            061            2             //Lizard Warrior
291            31             30         064            213            3             //Fire Golem
291            31             30         048            207            0             //Fire Golem
290            31             30         209            067            7             //Lizard Warrior
290            31             30         218            065            4             //Lizard Warrior
290            31             30         234            075            0             //Lizard Warrior
290            31             30         234            066            2             //Lizard Warrior
290            31             30         234            055            4             //Lizard Warrior
291            31             30         018            173            2             //Fire Golem
291            31             30         038            172            3             //Fire Golem
291            31             30         028            185            3             //Fire Golem
291            31             30         031            209            4             //Fire Golem
291            31             30         040            231            4             //Fire Golem
