0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
605            33             03         083            015            00             //Mining Area (Small)
605            33             03         076            009            02             //Mining Area (Small)
605            33             03         088            007            04             //Mining Area (Small)
606            33             03         091            012            02             //Mining Area (Medium)
606            33             03         083            012            04             //Mining Area (Medium)
607            33             03         079            010            03             //Mining Area (Large)
369            33             00         078            013            02             //Osbourne
370            33             00         086            013            01             //Jerridon
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
304            33             30         106            049            1             //Witch Queen
304            33             30         120            097            7             //Witch Queen
304            33             30         125            082            1             //Witch Queen
304            33             30         137            125            5             //Witch Queen
304            33             30         141            076            7             //Witch Queen
305            33             30         081            080            1             //Blue Golem
305            33             30         083            121            2             //Blue Golem
305            33             30         088            062            2             //Blue Golem
305            33             30         092            045            5             //Blue Golem
305            33             30         092            086            3             //Blue Golem
305            33             30         094            158            6             //Blue Golem
305            33             30         094            158            6             //Blue Golem
305            33             30         095            150            3             //Blue Golem
305            33             30         102            175            7             //Blue Golem
305            33             30         104            042            1             //Blue Golem
305            33             30         104            160            3             //Blue Golem
305            33             30         111            094            1             //Blue Golem
305            33             30         113            155            2             //Blue Golem
305            33             30         114            067            6             //Blue Golem
305            33             30         125            112            2             //Blue Golem
305            33             30         126            073            1             //Blue Golem
305            33             30         131            094            0             //Blue Golem
305            33             30         133            079            4             //Blue Golem
305            33             30         133            133            4             //Blue Golem
305            33             30         134            106            0             //Blue Golem
305            33             30         136            066            2             //Blue Golem
305            33             30         146            072            7             //Blue Golem
305            33             30         148            093            7             //Blue Golem
305            33             30         157            166            0             //Blue Golem
305            33             30         167            127            5             //Blue Golem
305            33             30         168            140            6             //Blue Golem
305            33             30         168            168            3             //Blue Golem
305            33             30         169            174            7             //Blue Golem
305            33             30         180            040            5             //Blue Golem
305            33             30         185            147            0             //Blue Golem
305            33             30         194            019            0             //Blue Golem
305            33             30         197            148            3             //Blue Golem
305            33             30         208            168            4             //Blue Golem
305            33             30         235            101            4             //Blue Golem
306            33             30         085            145            0             //Death Rider
306            33             30         088            126            4             //Death Rider
306            33             30         089            109            4             //Death Rider
306            33             30         093            173            7             //Death Rider
306            33             30         100            058            7             //Death Rider
306            33             30         119            056            5             //Death Rider
306            33             30         126            156            3             //Death Rider
306            33             30         126            156            1             //Death Rider
306            33             30         136            144            6             //Death Rider
306            33             30         145            087            3             //Death Rider
306            33             30         149            112            7             //Death Rider
306            33             30         161            117            4             //Death Rider
306            33             30         167            152            0             //Death Rider
306            33             30         176            124            1             //Death Rider
306            33             30         186            089            7             //Death Rider
306            33             30         189            179            7             //Death Rider
306            33             30         190            144            7             //Death Rider
306            33             30         191            138            0             //Death Rider
306            33             30         207            054            5             //Death Rider
306            33             30         209            075            6             //Death Rider
306            33             30         221            060            3             //Death Rider
306            33             30         223            158            4             //Death Rider
306            33             30         227            052            3             //Death Rider
306            33             30         230            012            4             //Death Rider
306            33             30         233            061            7             //Death Rider
306            33             30         234            071            7             //Death Rider
306            33             30         234            146            7             //Death Rider
306            33             30         235            090            1             //Death Rider
307            33             30         086            171            5             //Forest Orc
307            33             30         126            020            7             //Forest Orc
307            33             30         126            026            3             //Forest Orc
307            33             30         148            010            2             //Forest Orc
307            33             30         148            019            1             //Forest Orc
307            33             30         149            035            7             //Forest Orc
307            33             30         157            016            7             //Forest Orc
307            33             30         158            046            4             //Forest Orc
307            33             30         166            057            2             //Forest Orc
307            33             30         172            011            0             //Forest Orc
307            33             30         176            060            3             //Forest Orc
307            33             30         183            096            0             //Forest Orc
