0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
226            34             00         135            047            02             //Trainer
256            34             00         096            025            02             //Lahap
251            34             00         145            014            01             //Hanzo the Blacksmith
240            34             00         113            056            02             //Safety Guardian
224            34             00         118            011            04             //Guardsman
204            34             00         121            031            02             //Wolf Status
205            34             00         125            027            02             //Wolf Altar 1
206            34             00         126            035            02             //Wolf Altar 2
207            34             00         120            038            02             //Wolf Altar 3
208            34             00         115            035            02             //Wolf Altar 4
209            34             00         117            027            02             //Wolf Altar 5
406            34             00         228            048            01             //Apostle Devin
407            34             00         062            239            01             //Werewolf Quarel
248            34             00         099            040            02             //Wandering Merchant Martin
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
310            34             30         058            047            4             //Hammer Scout
310            34             30         060            038            7             //Hammer Scout
310            34             30         065            024            5             //Hammer Scout
310            34             30         070            037            1             //Hammer Scout
310            34             30         074            020            5             //Hammer Scout
310            34             30         077            032            2             //Hammer Scout
310            34             30         078            051            6             //Hammer Scout
310            34             30         079            043            5             //Hammer Scout
310            34             30         083            010            5             //Hammer Scout
310            34             30         088            050            3             //Hammer Scout
310            34             30         088            060            7             //Hammer Scout
310            34             30         094            054            5             //Hammer Scout
310            34             30         098            060            5             //Hammer Scout
310            34             30         150            060            4             //Hammer Scout
310            34             30         159            060            3             //Hammer Scout
310            34             30         162            041            1             //Hammer Scout
310            34             30         164            018            5             //Hammer Scout
310            34             30         169            060            5             //Hammer Scout
310            34             30         176            032            0             //Hammer Scout
310            34             30         178            022            4             //Hammer Scout
310            34             30         179            048            0             //Hammer Scout
310            34             30         185            035            3             //Hammer Scout
310            34             30         191            027            2             //Hammer Scout
310            34             30         194            044            1             //Hammer Scout
310            34             30         195            033            1             //Hammer Scout
310            34             30         199            060            2             //Hammer Scout
310            34             30         201            040            3             //Hammer Scout
310            34             30         205            046            1             //Hammer Scout
310            34             30         206            045            0             //Hammer Scout
310            34             30         214            060            3             //Hammer Scout
311            34             30         022            100            3             //Lance Scout
311            34             30         027            122            0             //Lance Scout
311            34             30         035            078            0             //Lance Scout
311            34             30         047            053            7             //Lance Scout
311            34             30         047            065            1             //Lance Scout
311            34             30         079            078            6             //Lance Scout
311            34             30         082            067            7             //Lance Scout
311            34             30         095            078            3             //Lance Scout
311            34             30         103            071            5             //Lance Scout
311            34             30         113            078            6             //Lance Scout
311            34             30         117            099            3             //Lance Scout
311            34             30         122            078            5             //Lance Scout
311            34             30         135            069            2             //Lance Scout
311            34             30         138            078            7             //Lance Scout
311            34             30         146            068            5             //Lance Scout
311            34             30         156            069            4             //Lance Scout
311            34             30         157            078            1             //Lance Scout
311            34             30         159            049            7             //Lance Scout
311            34             30         170            047            2             //Lance Scout
311            34             30         170            078            6             //Lance Scout
311            34             30         173            097            7             //Lance Scout
311            34             30         174            054            5             //Lance Scout
311            34             30         177            078            0             //Lance Scout
311            34             30         197            078            1             //Lance Scout
311            34             30         210            088            6             //Lance Scout
311            34             30         211            069            5             //Lance Scout
311            34             30         221            078            5             //Lance Scout
311            34             30         223            120            7             //Lance Scout
311            34             30         225            068            3             //Lance Scout
311            34             30         231            078            7             //Lance Scout
312            34             30         021            088            7             //Bow Scout
312            34             30         023            115            7             //Bow Scout
312            34             30         030            088            2             //Bow Scout
312            34             30         056            115            0             //Bow Scout
312            34             30         068            115            7             //Bow Scout
312            34             30         078            088            4             //Bow Scout
312            34             30         079            115            7             //Bow Scout
312            34             30         083            101            5             //Bow Scout
312            34             30         090            088            1             //Bow Scout
312            34             30         100            088            7             //Bow Scout
312            34             30         114            088            4             //Bow Scout
312            34             30         122            115            0             //Bow Scout
312            34             30         124            088            4             //Bow Scout
312            34             30         135            088            3             //Bow Scout
312            34             30         145            099            3             //Bow Scout
312            34             30         146            088            1             //Bow Scout
312            34             30         155            115            1             //Bow Scout
312            34             30         156            084            5             //Bow Scout
312            34             30         168            088            1             //Bow Scout
312            34             30         178            088            5             //Bow Scout
312            34             30         192            088            7             //Bow Scout
312            34             30         201            089            1             //Bow Scout
312            34             30         202            098            6             //Bow Scout
312            34             30         217            094            0             //Bow Scout
