0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
256            51             00         037            241            01             //Lahap
415            51             00         044            229            01             //Silvia
416            51             00         029            236            02             //Rhea
417            51             00         036            219            02             //Marce
257            51             00         043            191            03             //Shadow Phantom Soldier
257            51             00         057            232            03             //Shadow Phantom Soldier
257            51             00         073            220            01             //Shadow Phantom Soldier
240            51             00         050            229            01             //Safety Guardian
385            51             00         055            243            01             //Mirage
568            51             00         055            199            01             //Wandering Merchant Zyro
452            51             00         046            243            01             //Seed Master
453            51             00         050            243            01             //Seed Researcher
540            51             00         049            216            02             //Lugard
579            51             00         020            214            03             //David
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
003            51             30         013            125            056          168          5             15            //Spider
003            51             30         102            194            142          238          3             15            //Spider
418            51             30         054            131            088          180          1             10            //Strange Rabbit
418            51             30         084            178            142          212          6             10            //Strange Rabbit
421            51             30         087            090            125          170          4             10            //Polluted Butterfly
421            51             30         118            130            164          172          2             10            //Polluted Butterfly
419            51             30         118            087            160          141          4             20            //Hideous Rabbit
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
425            51             30         205            016            2             //Captain Grizzly
425            51             30         200            054            7             //Captain Grizzly
425            51             30         219            074            0             //Captain Grizzly
423            51             30         230            143            2             //Totem Golem
423            51             30         196            171            3             //Totem Golem
420            51             30         074            081            7             //Werewolf
420            51             30         102            106            1             //Werewolf
424            51             30         169            124            2             //Grizzly
419            51             30         093            117            0             //Hideous Rabbit
423            51             30         202            193            3             //Totem Golem
423            51             30         184            194            1             //Totem Golem
422            51             30         135            089            6             //Cursed Lich
419            51             30         139            141            5             //Hideous Rabbit
419            51             30         129            119            3             //Hideous Rabbit
419            51             30         130            132            7             //Hideous Rabbit
419            51             30         115            109            1             //Hideous Rabbit
418            51             30         045            160            7             //Strange Rabbit
418            51             30         031            157            5             //Strange Rabbit
418            51             30         050            149            7             //Strange Rabbit
418            51             30         024            144            5             //Strange Rabbit
421            51             30         068            137            5             //Polluted Butterfly
421            51             30         122            189            5             //Polluted Butterfly
421            51             30         133            213            6             //Polluted Butterfly
421            51             30         033            130            0             //Polluted Butterfly
425            51             30         205            016            5             //Captain Grizzly
425            51             30         219            074            5             //Captain Grizzly
423            51             30         230            143            1             //Totem Golem
423            51             30         196            171            2             //Totem Golem
420            51             30         074            081            3             //Werewolf
423            51             30         202            193            0             //Totem Golem
423            51             30         184            194            1             //Totem Golem
425            51             30         185            020            7             //Captain Grizzly
419            51             30         139            141            1             //Hideous Rabbit
419            51             30         129            119            3             //Hideous Rabbit
419            51             30         130            132            7             //Hideous Rabbit
418            51             30         045            160            2             //Strange Rabbit
418            51             30         031            157            5             //Strange Rabbit
418            51             30         050            149            4             //Strange Rabbit
418            51             30         024            144            6             //Strange Rabbit
421            51             30         068            137            6             //Polluted Butterfly
421            51             30         122            189            4             //Polluted Butterfly
421            51             30         093            117            1             //Polluted Butterfly
421            51             30         119            139            0             //Polluted Butterfly
419            51             30         135            089            7             //Hideous Rabbit
419            51             30         169            124            7             //Hideous Rabbit
422            51             30         118            049            5             //Cursed Lich
423            51             30         228            130            5             //Totem Golem
419            51             30         150            110            6             //Hideous Rabbit
423            51             30         226            149            6             //Totem Golem
425            51             30         202            057            0             //Captain Grizzly
425            51             30         205            053            2             //Captain Grizzly
424            51             30         176            068            0             //Grizzly
425            51             30         176            038            1             //Captain Grizzly
419            51             30         111            127            6             //Hideous Rabbit
425            51             30         196            038            5             //Captain Grizzly
425            51             30         212            020            4             //Captain Grizzly
425            51             30         230            048            2             //Captain Grizzly
425            51             30         226            045            4             //Captain Grizzly
425            51             30         226            051            3             //Captain Grizzly
425            51             30         214            052            4             //Captain Grizzly
425            51             30         173            034            0             //Captain Grizzly
423            51             30         171            175            6             //Totem Golem
423            51             30         174            180            7             //Totem Golem
423            51             30         192            144            4             //Totem Golem
423            51             30         190            150            4             //Totem Golem
423            51             30         195            149            7             //Totem Golem
423            51             30         223            143            5             //Totem Golem
424            51             30         186            075            5             //Grizzly
