0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
605            56             05         139            113            01             //Mining Area (Small)
605            56             05         145            109            03             //Mining Area (Small)
605            56             05         143            099            04             //Mining Area (Small)
605            56             05         135            100            06             //Mining Area (Small)
605            56             05         130            111            00             //Mining Area (Small)
606            56             05         134            105            03             //Mining Area (Medium)
606            56             05         142            105            06             //Mining Area (Medium)
606            56             05         138            109            00             //Mining Area (Medium)
606            56             05         137            101            06             //Mining Area (Medium)
607            56             05         141            105            04             //Mining Area (Large)
607            56             05         145            119            05             //Mining Area (Large)
607            56             05         142            109            06             //Mining Area (Large)
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
441            56             05         198            198            0             //Sapi-Unus
441            56             05         207            202            1             //Sapi-Unus
441            56             05         198            208            6             //Sapi-Unus
441            56             05         198            214            6             //Sapi-Unus
441            56             05         173            215            0             //Sapi-Unus
441            56             05         173            222            0             //Sapi-Unus
442            56             05         210            196            4             //Sapi-Duo
442            56             05         220            192            0             //Sapi-Duo
442            56             05         220            217            3             //Sapi-Duo
442            56             05         224            217            2             //Sapi-Duo
442            56             05         216            177            3             //Sapi-Duo
442            56             05         230            173            6             //Sapi-Duo
442            56             05         218            171            3             //Sapi-Duo
442            56             05         227            169            7             //Sapi-Duo
441            56             05         220            184            0             //Sapi-Unus
441            56             05         226            184            1             //Sapi-Unus
442            56             05         231            197            4             //Sapi-Duo
442            56             05         189            226            6             //Sapi-Duo
442            56             05         201            228            7             //Sapi-Duo
447            56             05         195            222            1             //Thunder Napin
447            56             05         180            218            1             //Thunder Napin
447            56             05         177            223            2             //Thunder Napin
447            56             05         190            233            7             //Thunder Napin
447            56             05         199            234            0             //Thunder Napin
442            56             05         207            234            3             //Sapi-Duo
447            56             05         214            234            2             //Thunder Napin
447            56             05         224            234            6             //Thunder Napin
447            56             05         231            235            7             //Thunder Napin
447            56             05         238            233            4             //Thunder Napin
447            56             05         236            238            7             //Thunder Napin
447            56             05         239            227            7             //Thunder Napin
441            56             05         203            198            0             //Sapi-Unus
441            56             05         233            204            7             //Sapi-Unus
441            56             05         229            202            0             //Sapi-Unus
441            56             05         236            201            2             //Sapi-Unus
442            56             05         228            194            3             //Sapi-Duo
442            56             05         235            194            5             //Sapi-Duo
441            56             05         226            210            2             //Sapi-Unus
441            56             05         237            210            0             //Sapi-Unus
557            56             30         215            150            2             //Sapi Queen
