0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
577            80             00         121            102            03             //Leina the General Goods Merchan
578            80             00         117            126            03             //Weapons Merchant Bolo
240            80             00         123            132            02             //Safety Guardian
240            80             00         122            096            03             //Safety Guardian
240            80             00         157            127            01             //Safety Guardian
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
570            80             30         215            103            3             //Bone Scorpion
569            80             30         129            059            3             //Venomous Chain Scorpion
569            80             30         127            066            6             //Venomous Chain Scorpion
569            80             30         136            065            7             //Venomous Chain Scorpion
569            80             30         139            073            1             //Venomous Chain Scorpion
569            80             30         148            081            7             //Venomous Chain Scorpion
569            80             30         166            066            6             //Venomous Chain Scorpion
569            80             30         183            043            1             //Venomous Chain Scorpion
569            80             30         194            042            1             //Venomous Chain Scorpion
569            80             30         189            072            6             //Venomous Chain Scorpion
569            80             30         179            089            6             //Venomous Chain Scorpion
569            80             30         192            109            0             //Venomous Chain Scorpion
569            80             30         183            122            5             //Venomous Chain Scorpion
569            80             30         207            110            5             //Venomous Chain Scorpion
569            80             30         213            097            7             //Venomous Chain Scorpion
569            80             30         209            089            2             //Venomous Chain Scorpion
569            80             30         185            100            0             //Venomous Chain Scorpion
569            80             30         175            116            1             //Venomous Chain Scorpion
569            80             30         152            070            5             //Venomous Chain Scorpion
569            80             30         214            034            4             //Venomous Chain Scorpion
569            80             30         226            103            3             //Venomous Chain Scorpion
569            80             30         191            157            4             //Venomous Chain Scorpion
569            80             30         172            156            1             //Venomous Chain Scorpion
569            80             30         209            170            0             //Venomous Chain Scorpion
569            80             30         163            178            7             //Venomous Chain Scorpion
569            80             30         131            164            6             //Venomous Chain Scorpion
569            80             30         112            184            2             //Venomous Chain Scorpion
569            80             30         099            177            6             //Venomous Chain Scorpion
569            80             30         093            185            2             //Venomous Chain Scorpion
569            80             30         079            175            7             //Venomous Chain Scorpion
569            80             30         062            123            3             //Venomous Chain Scorpion
569            80             30         091            072            7             //Venomous Chain Scorpion
569            80             30         089            067            2             //Venomous Chain Scorpion
569            80             30         072            131            4             //Venomous Chain Scorpion
569            80             30         089            118            7             //Venomous Chain Scorpion
569            80             30         108            193            4             //Venomous Chain Scorpion
570            80             30         132            067            4             //Bone Scorpion
570            80             30         167            048            0             //Bone Scorpion
