0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
575            81             30         078            042            3             //Condra
575            81             30         071            043            3             //Condra
575            81             30         076            060            5             //Condra
575            81             30         058            059            2             //Condra
575            81             30         060            046            6             //Condra
575            81             30         082            048            4             //Condra
575            81             30         094            056            0             //Condra
575            81             30         114            061            3             //Condra
575            81             30         115            049            6             //Condra
575            81             30         127            060            1             //Condra
575            81             30         127            053            2             //Condra
575            81             30         130            049            0             //Condra
575            81             30         152            047            6             //Condra
575            81             30         160            035            6             //Condra
575            81             30         186            041            2             //Condra
575            81             30         201            037            5             //Condra
575            81             30         207            051            6             //Condra
575            81             30         207            076            5             //Condra
575            81             30         186            060            6             //Condra
575            81             30         171            068            3             //Condra
575            81             30         137            081            6             //Condra
575            81             30         140            063            4             //Condra
575            81             30         097            078            7             //Condra
575            81             30         126            089            0             //Condra
575            81             30         106            082            1             //Condra
575            81             30         098            092            6             //Condra
575            81             30         081            095            0             //Condra
575            81             30         069            088            2             //Condra
575            81             30         100            104            1             //Condra
575            81             30         119            081            3             //Condra
575            81             30         156            080            5             //Condra
575            81             30         200            083            7             //Condra
575            81             30         203            062            1             //Condra
575            81             30         206            040            3             //Condra
575            81             30         169            039            7             //Condra
575            81             30         169            030            7             //Condra
575            81             30         101            057            3             //Condra
575            81             30         076            053            3             //Condra
575            81             30         078            103            4             //Condra
575            81             30         097            085            2             //Condra
575            81             30         138            113            3             //Condra
575            81             30         145            108            7             //Condra
575            81             30         178            064            7             //Condra
575            81             30         201            058            1             //Condra
575            81             30         201            087            6             //Condra
575            81             30         221            048            7             //Condra
575            81             30         211            065            1             //Condra
575            81             30         074            105            2             //Condra
575            81             30         071            131            5             //Condra
575            81             30         059            121            1             //Condra
575            81             30         054            136            5             //Condra
575            81             30         058            140            3             //Condra
575            81             30         062            138            4             //Condra
575            81             30         130            121            0             //Condra
575            81             30         132            103            4             //Condra
575            81             30         152            105            6             //Condra
575            81             30         200            108            4             //Condra
575            81             30         213            126            5             //Condra
575            81             30         211            095            0             //Condra
575            81             30         182            072            5             //Condra
575            81             30         185            047            5             //Condra
575            81             30         164            030            1             //Condra
576            81             30         087            042            2             //Narcondra
576            81             30         081            054            0             //Narcondra
576            81             30         107            062            5             //Narcondra
576            81             30         110            055            4             //Narcondra
576            81             30         122            058            4             //Narcondra
576            81             30         092            080            0             //Narcondra
576            81             30         141            056            3             //Narcondra
576            81             30         170            035            2             //Narcondra
576            81             30         190            038            2             //Narcondra
576            81             30         195            061            0             //Narcondra
576            81             30         210            043            4             //Narcondra
576            81             30         202            080            7             //Narcondra
576            81             30         140            074            6             //Narcondra
576            81             30         133            083            4             //Narcondra
576            81             30         125            085            6             //Narcondra
576            81             30         104            089            2             //Narcondra
576            81             30         078            098            1             //Narcondra
576            81             30         065            090            2             //Narcondra
576            81             30         066            126            0             //Narcondra
576            81             30         078            109            7             //Narcondra
576            81             30         132            109            6             //Narcondra
576            81             30         187            081            4             //Narcondra
576            81             30         197            099            7             //Narcondra
576            81             30         206            110            2             //Narcondra
576            81             30         217            122            1             //Narcondra
576            81             30         210            130            3             //Narcondra
576            81             30         148            120            7             //Narcondra
576            81             30         153            113            0             //Narcondra
576            81             30         069            140            5             //Narcondra
576            81             30         053            129            2             //Narcondra
576            81             30         095            095            2             //Narcondra
576            81             30         084            100            3             //Narcondra
576            81             30         150            084            6             //Narcondra
576            81             30         181            057            6             //Narcondra
571            81             30         058            160            6             //Orcus
571            81             30         053            165            3             //Orcus
571            81             30         067            180            3             //Orcus
571            81             30         070            169            4             //Orcus
571            81             30         061            172            0             //Orcus
571            81             30         134            141            7             //Orcus
571            81             30         143            149            1             //Orcus
571            81             30         143            139            3             //Orcus
571            81             30         131            146            3             //Orcus
571            81             30         136            156            0             //Orcus
571            81             30         197            157            4             //Orcus
571            81             30         205            158            5             //Orcus
571            81             30         211            157            1             //Orcus
571            81             30         211            167            4             //Orcus
571            81             30         204            170            4             //Orcus
571            81             30         198            162            2             //Orcus
572            81             30         065            163            3             //Gollock
572            81             30         067            171            0             //Gollock
572            81             30         058            173            0             //Gollock
572            81             30         138            138            4             //Gollock
572            81             30         140            154            5             //Gollock
572            81             30         148            144            7             //Gollock
572            81             30         201            158            7             //Gollock
572            81             30         208            171            4             //Gollock
572            81             30         214            162            6             //Gollock
572            81             30         202            166            7             //Gollock
572            81             30         206            134            5             //Gollock
572            81             30         216            137            1             //Gollock
572            81             30         140            117            1             //Gollock
572            81             30         061            145            5             //Gollock
572            81             30         066            142            3             //Gollock
571            81             30         064            134            6             //Orcus
571            81             30         126            124            0             //Orcus
571            81             30         132            117            6             //Orcus
571            81             30         214            133            3             //Orcus
571            81             30         208            126            2             //Orcus
571            81             30         067            175            7             //Orcus
end

