0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
017            09             30         119            080            150          115          3             35            //Cyclops
015            09             30         119            080            150          115          4             35            //Skeleton Archer
010            09             30         121            152            151          184          2             35            //Dark Knight
039            09             30         121            152            151          184          2             35            //Poison Shadow
041            09             30         049            138            079          173          7             35            //Death Cow
037            09             30         049            138            079          173          6             35            //Devil
064            09             30         053            074            083          109          0             35            //Ogre archer
065            09             30         053            074            083          109          6             35            //Elite Ogre
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


3
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction     Quantity      Value      Comment
end


4
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
015            09             30         135            092            03             //Skeleton Archer
015            09             30         124            082            03             //Skeleton Archer
015            09             30         135            102            01             //Skeleton Archer
015            09             30         131            087            01             //Skeleton Archer
015            09             30         126            083            07             //Skeleton Archer
015            09             30         146            087            03             //Skeleton Archer
015            09             30         128            096            05             //Skeleton Archer
015            09             30         139            098            02             //Skeleton Archer
015            09             30         134            109            05             //Skeleton Archer
015            09             30         146            102            07             //Skeleton Archer
015            09             30         127            089            03             //Skeleton Archer
015            09             30         144            098            05             //Skeleton Archer
015            09             30         148            097            05             //Skeleton Archer
015            09             30         134            095            03             //Skeleton Archer
015            09             30         128            103            06             //Skeleton Archer
015            09             30         148            101            04             //Skeleton Archer
015            09             30         130            109            01             //Skeleton Archer
015            09             30         122            086            04             //Skeleton Archer
015            09             30         129            090            04             //Skeleton Archer
015            09             30         121            100            06             //Skeleton Archer
017            09             30         145            096            03             //Cyclops
017            09             30         129            105            00             //Cyclops
017            09             30         147            094            03             //Cyclops
017            09             30         133            087            07             //Cyclops
017            09             30         141            104            02             //Cyclops
017            09             30         144            102            02             //Cyclops
017            09             30         143            109            01             //Cyclops
017            09             30         127            085            04             //Cyclops
