0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


3
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction     Quantity      Value      Comment
end


4
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
162            18             30         026            105            00             //Chaos Castle 1
163            18             30         026            098            00             //Chaos Castle 2
162            18             30         028            090            00             //Chaos Castle 1
163            18             30         027            086            00             //Chaos Castle 2
162            18             30         028            082            00             //Chaos Castle 1
163            18             30         026            079            00             //Chaos Castle 2
162            18             30         034            078            00             //Chaos Castle 1
163            18             30         033            081            00             //Chaos Castle 2
162            18             30         039            078            00             //Chaos Castle 1
163            18             30         026            077            00             //Chaos Castle 2
162            18             30         038            080            00             //Chaos Castle 1
163            18             30         043            077            00             //Chaos Castle 2
162            18             30         038            086            00             //Chaos Castle 1
163            18             30         043            084            00             //Chaos Castle 2
162            18             30         041            082            00             //Chaos Castle 1
163            18             30         027            094            00             //Chaos Castle 2
162            18             30         032            091            00             //Chaos Castle 1
163            18             30         029            084            00             //Chaos Castle 2
162            18             30         042            090            00             //Chaos Castle 1
163            18             30         044            087            00             //Chaos Castle 2
162            18             30         030            078            00             //Chaos Castle 1
163            18             30         038            092            00             //Chaos Castle 2
162            18             30         040            098            00             //Chaos Castle 1
163            18             30         029            101            00             //Chaos Castle 2
162            18             30         033            103            00             //Chaos Castle 1
163            18             30         038            089            00             //Chaos Castle 2
162            18             30         042            105            00             //Chaos Castle 1
163            18             30         042            099            00             //Chaos Castle 2
162            18             30         035            105            00             //Chaos Castle 1
163            18             30         029            093            00             //Chaos Castle 2
162            18             30         028            097            00             //Chaos Castle 1
163            18             30         026            084            00             //Chaos Castle 2
162            18             30         028            079            00             //Chaos Castle 1
162            18             30         025            082            00             //Chaos Castle 1
163            18             30         029            076            00             //Chaos Castle 2
162            18             30         033            076            00             //Chaos Castle 1
163            18             30         035            079            00             //Chaos Castle 2
162            18             30         031            080            00             //Chaos Castle 1
163            18             30         041            079            00             //Chaos Castle 2
162            18             30         038            076            00             //Chaos Castle 1
163            18             30         036            081            00             //Chaos Castle 2
162            18             30         039            082            00             //Chaos Castle 1
163            18             30         041            086            00             //Chaos Castle 2
162            18             30         042            094            00             //Chaos Castle 1
163            18             30         035            092            00             //Chaos Castle 2
162            18             30         034            090            00             //Chaos Castle 1
163            18             30         038            101            00             //Chaos Castle 2
162            18             30         030            105            00             //Chaos Castle 1
163            18             30         026            102            00             //Chaos Castle 2
162            18             30         028            100            00             //Chaos Castle 1
163            18             30         038            106            00             //Chaos Castle 2
162            18             30         035            102            00             //Chaos Castle 1
163            18             30         042            102            00             //Chaos Castle 2
162            18             30         043            096            00             //Chaos Castle 1
163            18             30         030            088            00             //Chaos Castle 2
162            18             30         025            091            00             //Chaos Castle 1
163            18             30         029            091            00             //Chaos Castle 2
162            18             30         030            098            00             //Chaos Castle 1
163            18             30         041            093            00             //Chaos Castle 2
162            18             30         041            089            00             //Chaos Castle 1
163            18             30         043            091            00             //Chaos Castle 2
162            18             30         039            095            00             //Chaos Castle 1
163            18             30         032            101            00             //Chaos Castle 2
162            18             30         029            103            00             //Chaos Castle 1
163            18             30         033            105            00             //Chaos Castle 2
162            18             30         025            097            00             //Chaos Castle 1
163            18             30         024            094            00             //Chaos Castle 2
162            18             30         027            088            00             //Chaos Castle 1
163            18             30         032            094            00             //Chaos Castle 2
162            18             30         032            089            00             //Chaos Castle 1
163            18             30         036            092            00             //Chaos Castle 2
162            18             30         037            089            00             //Chaos Castle 1
163            18             30         040            091            00             //Chaos Castle 2
162            18             30         038            099            00             //Chaos Castle 1
163            18             30         040            101            00             //Chaos Castle 2
162            18             30         043            081            00             //Chaos Castle 1
163            18             30         036            076            00             //Chaos Castle 2
162            18             30         042            075            00             //Chaos Castle 1
163            18             30         026            075            00             //Chaos Castle 2
162            18             30         024            080            00             //Chaos Castle 1
163            18             30         030            082            00             //Chaos Castle 2
162            18             30         024            089            00             //Chaos Castle 1
163            18             30         024            086            00             //Chaos Castle 2
162            18             30         024            101            00             //Chaos Castle 1
163            18             30         037            104            00             //Chaos Castle 2
162            18             30         041            096            00             //Chaos Castle 1
163            18             30         039            087            00             //Chaos Castle 2
162            18             30         041            076            00             //Chaos Castle 1
163            18             30         038            084            00             //Chaos Castle 2
162            18             30         038            096            00             //Chaos Castle 1
163            18             30         030            095            00             //Chaos Castle 2
162            18             30         032            078            00             //Chaos Castle 1
163            18             30         029            086            00             //Chaos Castle 2
162            18             30         027            104            00             //Chaos Castle 1
163            18             30         040            104            00             //Chaos Castle 2
162            18             30         044            102            00             //Chaos Castle 1
163            18             30         043            098            00             //Chaos Castle 2
162            18             30         039            093            00             //Chaos Castle 1
163            18             30         041            084            00             //Chaos Castle 2
end


