0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
end


2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
end


3
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction     Quantity      Value      Comment
end


4
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
294            32             30         120            080            150             //Ax Warrior
290            32             30         122            152            151             //Lizard Warrior
434            32             30         050            138            79             //Gigantis
060            32             30         136            092            07             //Bloody wolf
060            32             30         125            082            06             //Bloody wolf
060            32             30         136            102            02             //Bloody wolf
060            32             30         132            087            02             //Bloody wolf
060            32             30         127            083            01             //Bloody wolf
060            32             30         147            087            00             //Bloody wolf
060            32             30         129            096            02             //Bloody wolf
060            32             30         140            098            05             //Bloody wolf
060            32             30         135            109            03             //Bloody wolf
060            32             30         147            102            05             //Bloody wolf
060            32             30         128            089            03             //Bloody wolf
060            32             30         145            098            07             //Bloody wolf
060            32             30         149            097            03             //Bloody wolf
060            32             30         135            095            05             //Bloody wolf
060            32             30         129            103            06             //Bloody wolf
060            32             30         149            101            04             //Bloody wolf
060            32             30         131            109            02             //Bloody wolf
060            32             30         123            086            04             //Bloody wolf
060            32             30         130            090            03             //Bloody wolf
060            32             30         122            100            05             //Bloody wolf
062            32             30         146            096            07             //Mutant
062            32             30         130            105            05             //Mutant
062            32             30         148            094            00             //Mutant
062            32             30         134            087            06             //Mutant
062            32             30         142            104            02             //Mutant
062            32             30         145            102            01             //Mutant
062            32             30         144            109            03             //Mutant
062            32             30         128            085            00             //Mutant
062            32             30         142            097            04             //Mutant
062            32             30         136            094            02             //Mutant
062            32             30         143            103            00             //Mutant
062            32             30         129            097            03             //Mutant
062            32             30         129            084            04             //Mutant
062            32             30         135            095            01             //Mutant
062            32             30         122            084            07             //Mutant
062            32             30         140            100            00             //Mutant
062            32             30         142            108            01             //Mutant
062            32             30         146            091            05             //Mutant
062            32             30         146            085            01             //Mutant
062            32             30         146            100            05             //Mutant
057            32             30         149            108            04             //Iron Wheel
057            32             30         149            090            04             //Iron Wheel
057            32             30         133            103            02             //Iron Wheel
057            32             30         130            102            01             //Iron Wheel
057            32             30         144            086            00             //Iron Wheel
057            32             30         141            104            03             //Iron Wheel
057            32             30         147            106            05             //Iron Wheel
057            32             30         135            105            00             //Iron Wheel
057            32             30         135            106            06             //Iron Wheel
057            32             30         125            109            07             //Iron Wheel
057            32             30         142            083            02             //Iron Wheel
057            32             30         137            085            03             //Iron Wheel
057            32             30         132            098            03             //Iron Wheel
057            32             30         122            083            01             //Iron Wheel
057            32             30         139            107            03             //Iron Wheel
058            32             30         143            109            06             //Tantalos
058            32             30         144            088            00             //Tantalos
058            32             30         147            096            02             //Tantalos
058            32             30         147            101            06             //Tantalos
058            32             30         140            082            01             //Tantalos
058            32             30         140            099            05             //Tantalos
058            32             30         138            105            00             //Tantalos
058            32             30         135            108            04             //Tantalos
058            32             30         129            109            04             //Tantalos
058            32             30         140            090            01             //Tantalos
058            32             30         149            096            04             //Tantalos
058            32             30         128            092            00             //Tantalos
058            32             30         145            097            07             //Tantalos
058            32             30         128            095            00             //Tantalos
058            32             30         122            107            00             //Tantalos
292            32             30         131            096            06             //Queen Bee
292            32             30         138            090            01             //Queen Bee
292            32             30         138            093            07             //Queen Bee
292            32             30         132            094            06             //Queen Bee
292            32             30         134            102            05             //Queen Bee
292            32             30         125            091            06             //Queen Bee
292            32             30         142            082            06             //Queen Bee
292            32             30         143            105            00             //Queen Bee
292            32             30         133            086            01             //Queen Bee
292            32             30         137            090            03             //Queen Bee
293            32             30         122            082            03             //Poison Golem
293            32             30         124            100            04             //Poison Golem
293            32             30         142            094            06             //Poison Golem
293            32             30         125            090            03             //Poison Golem
293            32             30         138            090            07             //Poison Golem
293            32             30         131            098            07             //Poison Golem
293            32             30         145            089            01             //Poison Golem
293            32             30         125            092            05             //Poison Golem
293            32             30         141            102            05             //Poison Golem
293            32             30         131            086            03             //Poison Golem
291            32             30         133            096            06             //Fire Golem
291            32             30         125            107            00             //Fire Golem
291            32             30         133            084            07             //Fire Golem
291            32             30         133            105            04             //Fire Golem
291            32             30         134            100            06             //Fire Golem
291            32             30         123            086            04             //Fire Golem
291            32             30         127            094            01             //Fire Golem
291            32             30         149            101            07             //Fire Golem
291            32             30         141            090            04             //Fire Golem
291            32             30         140            106            03             //Fire Golem
069            32             30         138            164            03             //Alquamos
069            32             30         127            154            01             //Alquamos
069            32             30         138            174            00             //Alquamos
069            32             30         134            159            01             //Alquamos
069            32             30         129            155            05             //Alquamos
069            32             30         149            159            04             //Alquamos
069            32             30         131            168            01             //Alquamos
069            32             30         142            170            07             //Alquamos
069            32             30         137            181            06             //Alquamos
069            32             30         149            174            03             //Alquamos
069            32             30         130            161            00             //Alquamos
069            32             30         147            170            07             //Alquamos
069            32             30         151            169            05             //Alquamos
069            32             30         137            167            00             //Alquamos
069            32             30         131            175            04             //Alquamos
069            32             30         151            173            03             //Alquamos
069            32             30         133            181            00             //Alquamos
069            32             30         125            158            00             //Alquamos
069            32             30         132            162            05             //Alquamos
069            32             30         124            172            02             //Alquamos
071            32             30         148            168            04             //Mega Crust
071            32             30         132            177            03             //Mega Crust
071            32             30         150            166            04             //Mega Crust
071            32             30         136            159            01             //Mega Crust
071            32             30         144            176            01             //Mega Crust
071            32             30         147            174            05             //Mega Crust
071            32             30         146            181            06             //Mega Crust
071            32             30         130            157            04             //Mega Crust
071            32             30         144            169            03             //Mega Crust
071            32             30         138            166            00             //Mega Crust
071            32             30         145            175            01             //Mega Crust
071            32             30         131            169            07             //Mega Crust
071            32             30         131            156            05             //Mega Crust
071            32             30         137            167            04             //Mega Crust
071            32             30         124            156            04             //Mega Crust
071            32             30         142            172            07             //Mega Crust
071            32             30         144            180            01             //Mega Crust
071            32             30         148            163            00             //Mega Crust
071            32             30         148            157            06             //Mega Crust
071            32             30         148            172            06             //Mega Crust
073            32             30         151            180            04             //Drakan
073            32             30         151            162            03             //Drakan
073            32             30         135            175            01             //Drakan
073            32             30         132            174            03             //Drakan
073            32             30         146            158            03             //Drakan
073            32             30         143            176            05             //Drakan
073            32             30         149            178            02             //Drakan
073            32             30         137            177            05             //Drakan
073            32             30         137            178            05             //Drakan
073            32             30         127            181            02             //Drakan
073            32             30         144            155            02             //Drakan
073            32             30         139            157            04             //Drakan
073            32             30         134            170            04             //Drakan
073            32             30         124            155            06             //Drakan
073            32             30         141            179            02             //Drakan
074            32             30         145            181            05             //Alpha Crust
074            32             30         146            160            00             //Alpha Crust
074            32             30         149            168            03             //Alpha Crust
074            32             30         149            173            03             //Alpha Crust
074            32             30         142            154            05             //Alpha Crust
074            32             30         142            171            03             //Alpha Crust
074            32             30         140            177            04             //Alpha Crust
074            32             30         137            180            03             //Alpha Crust
074            32             30         131            181            01             //Alpha Crust
074            32             30         142            162            02             //Alpha Crust
074            32             30         151            168            04             //Alpha Crust
074            32             30         130            164            05             //Alpha Crust
074            32             30         147            169            01             //Alpha Crust
074            32             30         130            167            03             //Alpha Crust
074            32             30         124            179            00             //Alpha Crust
072            32             30         133            168            05             //Phantom Knight
072            32             30         140            162            07             //Phantom Knight
072            32             30         140            165            02             //Phantom Knight
072            32             30         134            166            06             //Phantom Knight
072            32             30         136            174            01             //Phantom Knight
072            32             30         127            163            02             //Phantom Knight
072            32             30         144            154            05             //Phantom Knight
072            32             30         145            177            00             //Phantom Knight
072            32             30         135            158            05             //Phantom Knight
072            32             30         139            162            01             //Phantom Knight
075            32             30         124            154            00             //Great Drakan
