3
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction     Quantity      Value      Comment
042            02             30         010            010            240          240          6             01            0          //Red Dragon
053            02             30         010            010            240          240          6             05            0          //Golden Titan
054            02             30         010            010            240          240          3             05            0          //Golden Soldier
079            02             30         010            010            240          240          3             01            0          //Golden Derkon
135            02             30         158            012            167          024          2             01            0          //White wizard
136            02             30         158            012            167          024          1             10            0          //Destructive ogre soldier
137            02             30         158            012            167          024          1             10            0          //Destructive ogre archer
466            02             30         158            012            167          024          1             10            0          //Cursed Goblin
476            02             30         158            012            167          024          3             01            0          //Cursed Santa
end
