//Section	Type	Level	Dur	Skill	Luck	Option	ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14	3	0	30	0	0	0	0	0	0	0	255	255	255	255	255 //Bình máu to
14	6	0	30	0	0	0	0	0	0	0	255	255	255	255	255 //Bình phép to
14	3	0	30	0	0	0	0	0	0	0	255	255	255	255	255 //Bình máu to
14	6	0	30	0	0	0	0	0	0	0	255	255	255	255	255 //Bình phép to

14	8	0	30	0	0	0	0	0	0	0	255	255	255	255	255 //Liều Giải Độc
14	3	0	2	0	0	0	0	0	0	0	255	255	255	255	255 //Bình máu to
14	1	0	2	0	0	0	0	0	0	0	255	255	255	255	255 //Bình máu to
14	4	0	30	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Phép Nhỏ

4	7	1	255	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Phép Nhỏ
4	7	3	255	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Phép Nhỏ
4	15	1	255	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Phép Nhỏ
4	15	3	255	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Phép Nhỏ

7	10	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
8	10	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
9	10	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
10	10	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
11	10	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ

7	11	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
8	11	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
9	11	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
10	11	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
11	11	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ

7	12	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
8	12	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
9	12	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
10	12	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ
11	12	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Trinh nữ

12	8	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Ngoc
12	9	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Ngoc
12	10	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Ngoc
12	17	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Ngoc
12	18	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Ngoc
12	45	0	255	0	1	1	0	0	0	0	255	255	255	255	255 //Ngoc


end




