//Index	  Name							Damage	 MP		BP		Range	Radio	Delay	Type   Effect	ReqLevel	ReqEnergy	ReqLeadership	ReqKillCount   ReqGuildStatus	DW		DK		FE		MG		DL		SU		RF		GL		RW		SL		GC		KUN		LEM		KIN		ALC
1		  "毒咒"							12		 42		 0		 6		 0		 0		 1		55		 30			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
2		  "陨石"							21		 12		 0		 6		 0		 0		 4		0		 21			0			0				0			   0				1		0		0		1		0		1		0		0		1		0		0		0		0		0		0
3		  "掌心雷"						17		 15		 0		 6		 0		 0		 2		0		 13			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
4		  "火球"							8		 3		 0		 6		 0		 0		 3		0		 5			0			0				0			   0				1		0		0		1		0		1		0		0		1		0		0		0		0		0		0
5		  "火龙"							25		 50		 0		 6		 6		 0		 3		0		 35			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
6		  "瞬间移动"						0		 30		 0		 0		 0		 0		 *		0		 17			0			0				0			   0				1		0		0		0		0		0		0		0		1		0		0		0		0		0		0
7		  "冰封"							10		 38		 0		 6		 0		 0		 0		56		 25			0			0				0			   0				1		0		0		1		0		1		0		0		1		0		0		0		0		0		0
8		  "龙卷风"						35		 60		 0		 6		 6		 0		 5		0		 40			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
9		  "黑龙波"						45		 90		 0		 0		 6		 0		 *		0		 50			0			0				0			   0				1		0		0		1		0		1		0		0		1		0		0		0		0		0		0
10		  "地狱火"						120		 160	 0		 0		 6		 0		 3		0		 60			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
11		  "真空波"						14		 5		 0		 6		 0		 0		 *		0		 9			0			0				0			   0				1		0		0		1		0		1		0		0		1		0		0		0		0		0		0
12		  "极光"							80		 140	 0		 6		 6		 0		 6		0		 74			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
13		  "爆炎"							70		 150	 0		 3		 6		 0		 2		0		 80			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
14		  "毁灭烈焰"						100		 200	 0		 0		 6		 0		 3		0		 88			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
15		  "小挪移"						0		 90		 25		 0		 0		 0		 *		0		 83			0			0				0			   0				2		0		0		0		0		0		0		0		0		0		0		0		0		0		0
16		  "守护之魂"						0		 70		 22		 6		 0		 0		 *		4		 77			0			0				0			   0				1		0		0		0		0		0		0		0		1		0		0		0		0		0		0
17		  "能量球"						3		 1		 0		 6		 0		 0		 *		0		 2			0			0				0			   0				1		0		0		1		0		0		0		0		1		0		0		0		0		0		0
18		  "圣盾防御"						0		 30		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		1		0		1		1		1		0		0		0		0		0		0		0		0		0
19		  "地裂斩"						0		 9		 0		 3		 0		 0		 *		0		 0			0			0				0			   0				0		1		0		1		1		1		1		0		0		0		0		0		0		0		0
20		  "牙突刺"						0		 9		 0		 2		 0		 0		 *		0		 0			0			0				0			   0				0		1		0		1		1		1		0		0		0		0		0		0		0		0		0
21		  "升龙击"						0		 8		 0		 2		 0		 0		 *		0		 0			0			0				0			   0				0		1		0		1		1		1		0		0		0		0		0		0		0		0		0
22		  "旋风斩"						0		 9		 0		 2		 0		 0		 *		0		 0			0			0				0			   0				0		1		0		1		1		1		0		0		0		0		0		0		0		0		0
23		  "天地十字剑"					0		 10		 0		 2		 0		 0		 *		0		 0			0			0				0			   0				0		1		0		1		1		1		0		0		0		0		0		0		0		0		0
24		  "多重箭"						0		 5		 0		 0		 6		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
26		  "治疗"							0		 20		 0		 6		 0		 0		 *		0		 8			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
27		  "守护之光"						0		 30		 0		 6		 0		 0		 *		2		 13			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
28		  "战神之力"						0		 40		 0		 6		 0		 0		 *		1		 18			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
30		  "召唤 哥布林"					0		 40		 0		 0		 0		 0		 *		0		 0			0			0				0			   0				0		0		1		0		0		0		0		0		0		0		0		0		0		0		0
